Language,Responses
Afrikaans,1
Belarusian,5
Bosnian,3
Breton,1
Bulgarian,3
Catalan,1
Croatian,2
Czech,17
Danish,3
Dutch.19
Estonian,12
Finnish,13
French,5
Galician,1
German,13
Greek,3
Hungarian,12
Irish,7
Italian,4
Karelian,1
Komi,1
Latvian,24
Lithuanian,15
Luxembourgish,1
Macedonian,2
Mari,1
North Saami,1
Norwegian,3
Polish,8
Portuguese,7
Romanian,2
Russian,99
Scottish Gaelic,8
Serbian,5
Slovak,5
Slovenian,4
Spanish,4
Swedish,17
Tornedalian,1
Ukrainian,12
Welsh,3
